risk_score,risk_level,ml_contribution,anomaly_contribution,rule_contribution,ml_fraud_prob,is_flagged,risk_factors,isFraud
35.02,LOW,0.09,4.93,30,0.0019,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.18,LOW,0.0,5.18,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.04,LOW,0.01,5.03,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
34.98,LOW,0.0,4.98,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.51,LOW,0.16,5.34,30,0.0032,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
7.6,LOW,0.18,7.42,0,0.0036,False,[],0
36.91,LOW,0.0,6.91,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
36.59,LOW,0.0,6.59,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.77,LOW,0.52,5.26,30,0.0103,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.17,LOW,0.0,7.17,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.89,LOW,0.01,5.88,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
34.87,LOW,0.08,4.79,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
38.45,LOW,0.0,8.45,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy', 'Very large transaction (>Rs.1M)']",0
36.98,LOW,0.0,6.98,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.14,LOW,0.06,6.09,30,0.0011,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.37,LOW,0.0,7.37,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
